name,price,package_size,serving_size,calories_per_serving,calculated_calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Polyunsaturated Fat,Monounsaturated Fat,Vitamin A,Vitamin C,Insoluble Fiber,Soluble Fiber,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Folic Acid,Vitamin B12,Zinc,Pantothenic Acid,Phosphorus,Calories from Fat,Trans Fat 0g,† As prepared with unsalted butter and salt.,Added SugarsƗ,Ɨ One  serving adds 16g of sugar to your diet and represents  32% of the Daily Value for Added Sugars
Organic Grass Fed Top Sirloin Steak,$8.99,8 Oz,112 g,490.0,468.0,32 g,13 g,0 g,175 mg,115 mg,0 g,0 g,0 g,0 g,45 g,0.0 mcg,60 mg,3.3 mg,700 mg,,,,,,,,,,,,,,,,,,,,,
Organic Grass Fed Tenderloin Steak,$24.99,12 Oz,112 g,840.0,817.0,61 g,25 g,0 g,290 mg,170 mg,0 g,0 g,0 g,0 g,67 g,0.0 mcg,90 mg,4.9 mg,1030 mg,,,,,,,,,,,,,,,,,,,,,
Organic Grass Fed NY Strip Steak Boneless,$13.99,10 Oz,112 g,670.0,652.0,48 g,20 g,0 g,230 mg,150 mg,0 g,0 g,0 g,0 g,55 g,0.0 mcg,20 mg,4.6 mg,850 mg,,,,,,,,,,,,,,,,,,,,,
Organic Grass Fed Ribeye Steak Boneless,$14.99,10 Oz,112 g,720.0,721.0,57 g,25 g,3.5 g,190 mg,140 mg,0 g,0 g,0 g,0 g,52 g,0.6 mcg,20 mg,5.1 mg,630 mg,,,,,,,,,,,,,,,,,,,,,
Caesar Salad Dip,$3.69,8 Oz,28 g,80.0,75.0,7 g,2.0 g,0 g,10 mg,150 mg,1 g,0 g,2g,0 g,2 g,0.1 mcg,60 mg,0.2 mg,40 mg,,,,,,,,,,,,,,,,,,,,,
Rum Balls,$4.49,7.93 Oz,25 g,100.0,100.0,4.0 g,1.5 g,0 g,0 mg,55 mg,14 g,1 g,9 g,9 g,2g,0.0 mcg,0 mg,0.9 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Premium Angus Beef Boneless Rib Roast,$13.99,1 Lb,112 g,270.0,273.0,21 g,9 g,1.5 g,80 mg,55 mg,0 g,0 g,0 g,0 g,21 g,0.1 mcg,10 mg,1.9 mg,260 mg,,,,,,,,,,,,,,,,,,,,,
Cashel Blue® Cheese Irish Potato Chips,$2.99,5.5 Oz,28 g,150.0,158.0,10 g,1.0 g,0 g,0 mg,230 mg,15 g,1 g,2g,0 g,2 g,0.0 mcg,0 mg,0.4 mg,320 mg,,,,,,,,,,,,,,,,,,,,,
Lemon Stuffed Olives,$2.99,12 Oz,16 g,25.0,30.5,2.5 g,0 g,0 g,0 mg,190 mg,2g,0 g,0 g,0 g,0 g,0.0 mcg,10 mg,0.1 mg,10 mg,,,,,,,,,,,,,,,,,,,,,
English Toffee Ice Cream,$3.79,1 Pint,123 g,1000.0,1009.0,61 g,38 g,1.5 g,220 mg,360 mg,103 g,2 g,92 g,80 g,12 g,2.2 mcg,380 mg,0.8 mg,380 mg,,,,,,,,,,,,,,,,,,,,,
Whipt™ Plant Based Dairy Free Whipped Coconut,$3.99,6.5 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Shortbread Cookie Collection,$7.99,10.58 Oz,30 g,160.0,156.0,8g,4.5g,0g,20mg,115mg,19g,2g,7g,6g,2g,0.1mcg,10mg,0.2mg,30mg,,,,,,,,,,,,,,,,,,,,,
Spiced Cranberry Granola,$3.99,12 Oz,65 g,140.0,285.0,9 g,2.0 g,0 g,0 mg,115 mg,46 g,5 g,17 g,12 g,5 g,0.0 mcg,30 mg,1.7 mg,140 mg,,,,,,,,,,,,,,,,,,,,,
Peppermint Crunch Popcorn,$1.99,6 Oz,33 g,140.0,147.0,3.0 g,2.5 g,0 g,0 mg,95 mg,28 g,2g,21 g,21 g,2g,0.0 mcg,0 mg,0.3 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Peppermint Pretzel Slims,$3.49,6 Oz,30 g,140.0,141.0,5g,4.5g,0g,0mg,120mg,22g,0g,13g,12g,2g,0mcg,30mg,0.5mg,60mg,,,,,,,,,,,,,,,,,,,,,
Festive Chaos of Gummy Candy,$5.49,20 Oz,33 g,110.0,108.0,0 g,0 g,0 g,0 mg,0 mg,25 g,0 g,21 g,21 g,2 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
English Fudge Collection,$5.49,9.52 Oz,26 g,110.0,116.0,4.0 g,2.5 g,0 g,0 mg,60mg,20g,0 g,19g,18 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Dark Chocolate Dipped Candy Cane Marshmallows,$3.49,4.7 Oz,33 g,140.0,143.5,3.5 g,2.5 g,0 g,0 mg,15 mg,26 g,2g,19 g,19 g,2g,0.0 mcg,0 mg,0.4 mg,50 mg,,,,,,,,,,,,,,,,,,,,,
Cocoa Truffles Collection,$4.99,7.6 Oz,28 g,170.0,168.0,12 g,11 g,0 g,0 mg,20 mg,14 g,1 g,11 g,11 g,1 g,0.7 mcg,20 mg,2.5 mg,200 mg,,,,,,,,,,,,,,,,,,,,,
Candy Cane Baton Wafer Cookies,$1.99,5 Oz,28 g,130.0,132.5,4.5 g,2.0 g,0 g,0 mg,70 mg,21 g,2g,12 g,11 g,2g,0.5 mcg,10 mg,0.1 mg,50 mg,,,,,,,,,,,,,,,,,,,,,
Turkey Harvest Salad,$5.99,10 Oz,100 g,590.0,613.0,41g,4g,0 g,25mg,270mg,42g,9g,19g,12g,19g,0mcg,150mg,3.7mg,1050mg,,,,,,,,,,,,,,,,,,,,,
Crunchy Milk Chocolate Hazelnut Pralines,$1.99,5.28 Oz,25 g,140.0,133.0,9 g,3.0 g,0 g,10mg,20 mg,11 g,1 g,8 g,8 g,2 g,0.2 mcg,30 mg,1.1 mg,130 mg,,,,,,,,,,,,,,,,,,,,,
Vegetable Root Chips,$2.99,7.5 Oz,28 g per,140.0,147.0,7 g,0.5 g,0 g,0 mg,85 mg,19 g,2 g,2 g,0 g,2 g,0.0 mcg,30 mg,0.3 mg,280 mg,,,,,,,,,,,,,,,,,,,,,
